Anio,Mes,Dia,prcp,Tmin,Tmax
1980,1,1,0,8.963537095,20
1980,1,2,0,9.61049194,24
1980,1,3,0,10.45390621,25
1980,1,4,0,12.04347866,25.5
1980,1,5,0,11.49218589,28
1980,1,6,0,12.85447423,23
1980,1,7,0,10.0971247,28
1980,1,8,6.5,11.88120871,20
1980,1,9,2,11.2331914,24
1980,1,10,0,11.88120871,24
1980,1,11,6.5,10.74638156,22
1980,1,12,10.5,9.61049194,24
1980,1,13,6,9.480817769,21
1980,1,14,0,10.7460274,23
1980,1,15,0,10.42184167,24
1980,1,16,0,10.7460274,23
1980,1,17,0,10.19473464,24
1980,1,18,0,11.55666882,26
1980,1,19,0,11.6223913,29
1980,1,20,0,11.39439888,21
1980,1,21,4,10.58375746,22
1980,1,22,0,11.88120871,28
1980,1,23,0,11.16782308,29
1980,1,24,1.5,12.20504029,23
1980,1,25,0,11.07127561,19
1980,1,26,0,11.55666882,27
1980,1,27,33.5,11.45994427,27
1980,1,28,0,12.2057486,20
1980,1,29,0,10.87605573,22
1980,1,30,0,11.06950483,25
1980,1,31,3,10.97313444,22
1980,2,1,0,11.76607722,21
1980,2,2,0,11.49055636,25
1980,2,3,0,12.89211755,27
1980,2,4,0,11.64473961,28
1980,2,5,6.5,11.89659935,21
1980,2,6,0,8.966905056,24
1980,2,7,0,9.00553758,26
1980,2,8,0,10.59836666,25
1980,2,9,0,10.82537042,28
1980,2,10,0,12.24445271,26
1980,2,11,0,12.12190757,24
1980,2,12,0,11.13571505,31
1980,2,13,0,12.14048216,25
1980,2,14,0,12.27093988,24
1980,2,15,0,12.21669367,25
1980,2,16,0,10.44248783,22
1980,2,17,0,10.80700162,25
1980,2,18,0,10.51008034,24
1980,2,19,4.5,11.41024699,20
1980,2,20,0,8.875015537,21
1980,2,21,0,10.5908778,21
1980,2,22,0,10.47363149,23
1980,2,23,0,10.42411903,24
1980,2,24,0,10.80700162,23
1980,2,25,0,9.54125494,24
1980,2,26,0,9.35218342,25
1980,2,27,11,10.56382544,24
1980,2,28,0,8.199938539,22
1980,2,29,0,10.20785387,27
1980,3,1,6,10.24423191,27
1980,3,2,0,11.5499534,20
1980,3,3,8,11.58619021,16
1980,3,4,0,10.97799934,22
1980,3,5,0,11.131476,23
1980,3,6,2.5,11.47374189,23
1980,3,7,1.5,11.41943138,23
1980,3,8,4.5,11.5320855,21.5
1980,3,9,0,10.62287579,23
1980,3,10,0,11.89659935,25
1980,3,11,0,12.14895977,26
1980,3,12,29.5,11.98220105,25
1980,3,13,0,11.74806803,23
1980,3,14,0,12.20750927,24
1980,3,15,1.200000048,12.69386152,26
1980,3,16,0,13.04531154,26
1980,3,17,3.099999905,11.85252667,21
1980,3,18,0,9.698970652,19
1980,3,19,6.5,9.508062254,23
1980,3,20,6,10.89260338,21
1980,3,21,0,9.577491642,24
1980,3,22,0,10.36556958,25
1980,3,23,0,10.5544352,27
1980,3,24,0,10.80700162,28
1980,3,25,0,11.73902492,28
