Anno,Panual1_mm,Panual2_mm,ENSO
1943,739.6,740.8,Sin_dato
1944,548,747.4,Sin_dato
1945,652.6,757.2,Sin_dato
1946,702.7,755.9,Sin_dato
1947,574.4,756.9,Sin_dato
1948,607.4,753.3,Sin_dato
1949,620.5,771.3,Sin_dato
1950,575,763.8,Sin_dato
1951,636.8,759.2,Ninno
1952,596.7,759.4,Ninno
1953,558,755.5,Ninno
1954,607.1,760.1,Ninno
1955,621.2,755.6,Ninno
1956,323.7,750.7,Ninna
1957,493.9,752.4,Ninno
1958,421.3,755.6,Ninno
1959,614.6,755.4,Normal
1960,667.1,756.3,Normal
1961,549.1,757.5,Normal
1962,597.5,753.7,Normal
1963,603,757.6,Ninno
1964,634.9,753.9,Ninna
1965,683.7,750.8,Ninno
1966,378.1,750.2,Normal
